1	室内薰沉香能杀菌清毒、预防新型冠状病毒。
1	广东化州橘红可以缓解新型冠状病毒肺炎症状。
1	在卫生间开排气扇会形成负压，把下水管里的病菌抽在空气里吗？——来自较真用户@毛毛提问
1	网上有一个流传得比较广的贴子：“独家最新报道！美国华裔专家（吴教授）揭秘绝大多数医生都不知道的新冠病毒肺炎机理及自救措施！必看！救人救己！”其中提到，在受感染后的早期，应该针对过度免疫反应产生的过量氧自由基和炎症因子进行用药，应大剂量服用抗氧化剂，维生素C、E，以及板蓝根、金银花等都是很好的抗氧化清除自由基药物。
1	日前有报道称，“澳洲还将投入20亿澳元（RMB100亿元）的资金用于研发新冠病毒疫苗！联邦科学与工业研究组织表示，最快在下个月初，原型疫苗可用于临床试验。”
1	最近有一篇《印度南部新冠肺炎爆发，三千多人被隔离，或向中美求助》的热帖传开了。文中总结道“2月7日印度从武汉撤回15名印度公民，到11日短短四天就导致数千人隔离，几十个人确诊，这在全世界都是极为罕见的”。
1	如果要出门，外面穿防静电服可以更好的防护吗？——来自较真用户@小胖墩提问
1	用水银腋下体温针帮进入小区的人员依次测量体温，会造成交叉传染。
1	有传言称，湖北产的大米上可能有新型冠状病毒，不能吃湖北产的大米。
1	水果表面有新型冠状病毒，疫情期间吃水果必须削皮。
1	❗️❗️❗️❗️❗️❗️今日提醒，不要带孩子出来玩雪，因为雪会把漂浮在空中的病毒带下来，记住别带孩子玩雪️️️️️继续在家待着！新型冠状病毒?怕热不怕冷!
1	用煮好的花椒水可以医治新型冠状病毒肺炎吗？——来自较真用户@金铭提问
1	等离子空气消毒机，可以杀灭新冠状病毒吗？——来自较真用户@老马提问
1	香囊可以预防新冠状病毒？——来自较真用户提问
1	亲人们，别再戴隐形眼睛了，会增加感染新冠病毒的几率，最近连微商都开始卖框架了。
1	新冠病者好了，血浆能治新冠病毒吗？——来自较真用户@阿坚提问
1	网上有个说法：准备15个口罩，轮流用，一天一个，用完一个密封。到第15天时再用第一个，这时病毒应该也被闷死了吧。
1	添加了抗菌成分的肥皂比普通肥皂和清水相比，有更好的杀毒效果，对人体也更好。
